adv_samples,attack_capture_precision,attack_capture_precision_ci_lower,attack_capture_precision_ci_upper,attack_capture_rate,attack_capture_rate_ci_lower,attack_capture_rate_ci_upper,baseline_clean_f1,captured_adversarial_count,clean_review_count,clean_review_count_denominator,clean_review_rate,clean_review_rate_ci_lower,clean_review_rate_ci_upper,clean_samples,conditional_review_count,conditional_review_count_denominator,conditional_review_rate,conditional_review_rate_ci_lower,conditional_review_rate_ci_upper,coverage,coverage_ci_lower,coverage_ci_upper,coverage_count,coverage_count_denominator,method,method_family,nominal_budget,number_needed_to_review,raw_adversarial_benign_count,raw_adversarial_benign_rate,raw_adversarial_benign_rate_ci_lower,raw_adversarial_benign_rate_ci_upper,raw_adversarial_count,raw_bypass_capture_rate,raw_bypass_capture_rate_ci_lower,raw_bypass_capture_rate_ci_upper,residual_silent_bypass_count,residual_silent_bypass_rate,residual_silent_bypass_rate_ci_lower,residual_silent_bypass_rate_ci_upper,role_manifest_sha256,selective_risk,selective_risk_ci_lower,selective_risk_ci_upper,selective_risk_count_denominator,selective_risk_error_count,target,threshold,total_review_count
50,0.08333333333333333,0.014865094404917123,0.3538799111411169,0.02,0.0035392592716462293,0.1049544358963781,0.6909090909090909,1,11,367,0.0299727520435967,0.016817200818597212,0.05286610509566614,367,11,332,0.03313253012048193,0.01859958109668203,0.0583458291318118,0.8746594005449592,0.8368564693143332,0.9047003158264715,321,367,Quarantine / Mahalanobis / nominal_budget=0.03,Mahalanobis,0.03,12.0,32,0.64,0.501410168761127,0.7586125034815325,50,0.03125,0.005537860164003122,0.15744263820012555,31,0.62,0.4815044693099298,0.7413721068980641,4bf795e269e3a796555bd30b0147af44aac317ac33f841b9b1c4dc3e6112a9a2,0.003115264797507788,0.0005501325629956571,0.01743235908662623,321,1,asterisk,70.3132635453177,12
50,0.09523809523809523,0.02651876743807452,0.2891413907391825,0.04,0.011038884327619819,0.13460090687507018,0.6909090909090909,2,19,367,0.0517711171662125,0.033390768835426174,0.07943765912339308,367,19,332,0.0572289156626506,0.036940172573648566,0.08764676486885847,0.8528610354223434,0.8129667329476462,0.8854449301486025,313,367,Quarantine / Mahalanobis / nominal_budget=0.05,Mahalanobis,0.05,10.5,32,0.64,0.501410168761127,0.7586125034815325,50,0.0625,0.01731056703164098,0.20147123144154577,30,0.6,0.46181437747589366,0.7239161026974346,4bf795e269e3a796555bd30b0147af44aac317ac33f841b9b1c4dc3e6112a9a2,0.003194888178913738,0.0005641990162301592,0.017872336538291143,313,1,asterisk,62.859718406972526,21
50,0.10204081632653061,0.04437954674476266,0.21756361549195893,0.1,0.04347576493189044,0.21360231437479654,0.6909090909090909,5,44,367,0.1198910081743869,0.09053386117823276,0.15712307316982368,367,44,332,0.13253012048192772,0.10022742837516047,0.17323928161113789,0.784741144414169,0.7398567729997483,0.8237263837072633,288,367,Quarantine / Mahalanobis / nominal_budget=0.10,Mahalanobis,0.1,9.8,32,0.64,0.501410168761127,0.7586125034815325,50,0.15625,0.06864420282505711,0.3175414959753039,27,0.54,0.4039887139915749,0.6703034780777565,4bf795e269e3a796555bd30b0147af44aac317ac33f841b9b1c4dc3e6112a9a2,0.003472222222222222,0.0006131956629725228,0.019402667896300206,288,1,asterisk,43.43233585150907,49
50,0.0821917808219178,0.03821375047870494,0.16794395479937174,0.12,0.05617600150932277,0.23804817383202986,0.6909090909090909,6,67,367,0.1825613079019073,0.1463948125949662,0.22530434763118848,367,67,332,0.20180722891566266,0.16215845234948,0.24827764837710636,0.7220708446866485,0.6741181341216259,0.7654227967072874,265,367,Quarantine / Mahalanobis / nominal_budget=0.15,Mahalanobis,0.15,12.166666666666666,32,0.64,0.501410168761127,0.7586125034815325,50,0.1875,0.08889544689565956,0.3530915520137595,26,0.52,0.3851174489004462,0.6520286471342195,4bf795e269e3a796555bd30b0147af44aac317ac33f841b9b1c4dc3e6112a9a2,0.0037735849056603774,0.0006664412667877293,0.021061825073970863,265,1,asterisk,34.83865487896163,73
200,0.0,0.0,1.0,0.0,0.0,0.018845326377266564,0.9432404540763674,0,0,2451,0.0,0.0,0.0015648500667491416,2451,0,1446,0.0,2.168404344971009e-19,0.002649571646143143,0.5899632802937577,0.5703656929099471,0.609279309587223,1446,2451,Quarantine / Supervised Gate / nominal_budget=0.01,Supervised Gate,0.01,,144,0.72,0.6540769541334929,0.7776311022605097,200,0.0,0.0,0.025983637143036732,144,0.72,0.6540769541334929,0.7776311022605097,7810185833b889220e4bbbf03124a9466b5c6ee1df1a8539aea44d0137c893a1,0.01313969571230982,0.008427905707740048,0.020431428232626163,1446,19,cwe119,0.9465091037669039,0
200,0.0,0.0,1.0,0.0,0.0,0.018845326377266564,0.9432404540763674,0,0,2451,0.0,0.0,0.0015648500667491416,2451,0,1446,0.0,2.168404344971009e-19,0.002649571646143143,0.5899632802937577,0.5703656929099471,0.609279309587223,1446,2451,Quarantine / Supervised Gate / nominal_budget=0.03,Supervised Gate,0.03,,144,0.72,0.6540769541334929,0.7776311022605097,200,0.0,0.0,0.025983637143036732,144,0.72,0.6540769541334929,0.7776311022605097,7810185833b889220e4bbbf03124a9466b5c6ee1df1a8539aea44d0137c893a1,0.01313969571230982,0.008427905707740048,0.020431428232626163,1446,19,cwe119,0.9465091037669039,0
200,0.07608695652173914,0.03734355970961541,0.14881240077167257,0.035,0.017055542008567192,0.07047061152229071,0.9432404540763674,7,85,2451,0.0346797225622195,0.02813348838906684,0.04268226966978864,2451,85,1446,0.058782849239280774,0.047787979038084676,0.07211579234537219,0.5552835577315381,0.5355390363234034,0.5748550581816603,1361,2451,Quarantine / Supervised Gate / nominal_budget=0.05,Supervised Gate,0.05,13.142857142857142,144,0.72,0.6540769541334929,0.7776311022605097,200,0.04861111111111111,0.023743988255155446,0.0969356841656416,137,0.685,0.6176504391426966,0.745376790097715,7810185833b889220e4bbbf03124a9466b5c6ee1df1a8539aea44d0137c893a1,0.013960323291697281,0.008955303458665378,0.021701340615473227,1361,19,cwe119,0.9405029196082854,92
200,0.07526881720430108,0.036936683981680485,0.14729700103258916,0.035,0.017055542008567192,0.07047061152229071,0.9432404540763674,7,86,2451,0.0350877192982456,0.028500202093457827,0.04313027253001067,2451,86,1446,0.059474412171507604,0.04841165300577479,0.07287157955106224,0.554875560995512,0.5351298920452674,0.5744494858951832,1360,2451,Quarantine / Supervised Gate / nominal_budget=0.10,Supervised Gate,0.1,13.285714285714286,144,0.72,0.6540769541334929,0.7776311022605097,200,0.04861111111111111,0.023743988255155446,0.0969356841656416,137,0.685,0.6176504391426966,0.745376790097715,7810185833b889220e4bbbf03124a9466b5c6ee1df1a8539aea44d0137c893a1,0.013970588235294118,0.008961901271730688,0.021717220960610153,1360,19,cwe119,0.9175599863013902,93
200,0.0736196319018405,0.042612231094974064,0.1242615125026264,0.06,0.034652194254331865,0.10193169295766269,0.9432404540763674,12,151,2451,0.0616075071399428,0.052757396037072614,0.07182965528624191,2451,151,1446,0.10442600276625173,0.08969786688404995,0.1212503419424976,0.5283557731538148,0.5085640902182634,0.5480587110223413,1295,2451,Quarantine / Supervised Gate / nominal_budget=0.15,Supervised Gate,0.15,13.583333333333334,144,0.72,0.6540769541334929,0.7776311022605097,200,0.08333333333333333,0.04831146161870116,0.1400082360004961,132,0.66,0.5918849552683626,0.7220845402909121,7810185833b889220e4bbbf03124a9466b5c6ee1df1a8539aea44d0137c893a1,0.014671814671814672,0.009412661559094817,0.022801785043714433,1295,19,cwe119,0.8536522301131295,163
200,0.04878048780487805,0.013480945365169042,0.16138978870370846,0.01,0.0027466581335444384,0.035721761716176796,0.9432404540763674,2,39,2451,0.0159118727050183,0.011661670122956444,0.021677125963700312,2451,39,1446,0.026970954356846474,0.019791905749306997,0.03665665165866245,0.5740514075887393,0.5543742165309492,0.5934968399463131,1407,2451,Quarantine / Isolation Forest / nominal_budget=0.01,Isolation Forest,0.01,20.5,144,0.72,0.6540769541334929,0.7776311022605097,200,0.013888888888888888,0.0038171346628682636,0.04922251255952856,142,0.71,0.6436252189922268,0.7684597439293211,7810185833b889220e4bbbf03124a9466b5c6ee1df1a8539aea44d0137c893a1,0.012082444918265814,0.0075572630300115825,0.019264644268009952,1407,17,cwe119,0.5400451540691148,41
